player_id,end_year,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,tbf
willira01,2011,34,0,2,0,0,0,0,100.0,47,21,2,26,28,6.0,1.0,3.0,0,172.0,3.0,23,1.0,2.0,140.0
feierry01,2014,6,0,0,0,0,0,0,22.0,12,5,0,2,4,1.0,1.0,0.0,0,36.0,0.0,5,1.0,1.0,32.0
garlawa01,1981,55,13,26,44,8,2,0,903.0,372,168,37,96,110,4.0,8.0,9.0,0,1352.0,2.0,195,,,1247.0
armasto02,2008,83,21,24,65,0,0,0,1082.0,389,214,55,157,235,14.0,15.0,26.0,3,1624.0,7.0,228,19.0,15.0,1407.0
dawlebi01,1989,4,0,0,0,0,0,0,27.0,11,4,0,2,3,0.0,0.0,1.0,0,41.0,2.0,5,,,38.0
niedeto01,1990,189,7,18,0,0,0,34,687.0,239,109,30,90,134,19.0,9.0,5.0,0,1002.0,115.0,115,,,907.0
eilanda01,1995,4,1,1,1,0,0,0,30.0,16,7,1,3,6,1.0,1.0,1.0,0,51.0,1.0,10,,,47.0
rislebi01,1998,44,3,4,0,0,0,0,164.0,52,32,7,34,42,4.0,3.0,4.0,1,245.0,18.0,37,,,207.0
watsoal01,2000,55,6,3,4,0,0,1,297.0,102,55,19,53,84,3.0,6.0,3.0,0,444.0,23.0,60,2.0,2.0,384.0
atchisc01,2013,152,8,7,1,0,0,1,561.0,176,72,15,46,122,5.0,13.0,3.0,0,769.0,29.0,85,5.0,9.0,706.0
knudsma01,1993,16,1,3,7,0,0,0,122.0,70,45,12,20,26,0.0,3.0,1.0,0,213.0,5.0,47,,,192.0
wrighwe01,2015,69,0,3,0,0,0,0,167.0,54,20,3,22,42,3.0,2.0,2.0,0,240.0,19.0,23,2.0,5.0,209.0
darenvi01,2005,29,1,2,0,0,0,0,88.0,35,12,3,10,10,2.0,0.0,0.0,0,128.0,8.0,12,3.0,4.0,111.0
valenfe01,1989,122,50,46,121,38,4,1,2578.0,807,347,65,383,612,19.0,40.0,7.0,6,3696.0,1.0,384,,,3306.0
youngcu01,1992,115,22,19,49,1,0,0,1114.0,395,181,37,151,158,7.0,9.0,9.0,5,1623.0,13.0,199,,,1463.0
nitkocj01,2004,120,3,5,0,0,0,0,322.0,122,61,11,71,87,9.0,6.0,11.0,0,516.0,30.0,64,6.0,5.0,423.0
falcope01,1984,143,27,24,63,10,2,5,1479.0,460,198,56,224,271,13.0,21.0,2.0,1,2105.0,23.0,222,,,1879.0
oroscje01,1988,225,22,23,0,0,0,63,870.0,249,99,21,130,251,22.0,9.0,7.0,0,1233.0,141.0,108,,,1096.0
birddo01,1982,118,23,20,51,5,2,1,1294.0,480,205,46,92,183,14.0,6.0,7.0,0,1821.0,21.0,223,,,1722.0
vandeed01,1988,26,2,2,0,0,0,2,111.0,44,17,2,11,18,4.0,0.0,0.0,1,159.0,7.0,19,,,148.0
rupejo01,2011,9,0,0,0,0,0,0,43.0,16,9,5,6,7,0.0,1.0,2.0,0,66.0,5.0,9,0.0,0.0,58.0
rasmuer01,1983,25,4,8,12,2,1,1,236.0,98,47,7,34,39,6.0,2.0,0.0,0,359.0,7.0,52,,,325.0
brewebi01,1999,25,1,1,0,0,0,2,77.0,30,20,4,14,28,1.0,1.0,0.0,0,118.0,8.0,20,,,104.0
mendora01,2005,127,13,10,5,0,0,4,570.0,227,99,22,43,111,7.0,3.0,8.0,1,829.0,35.0,108,2.0,8.0,768.0
gonzami02,2012,212,8,9,0,0,0,12,564.0,156,69,17,84,211,13.0,15.0,9.0,1,802.0,64.0,83,12.0,6.0,691.0
lorraan01,2002,23,1,3,6,0,0,0,160.0,66,42,13,29,40,1.0,0.0,0.0,1,254.0,6.0,47,3.0,2.0,220.0
myersbr01,2011,115,35,38,106,6,1,0,2101.0,709,319,98,211,553,15.0,12.0,17.0,0,2974.0,2.0,345,21.0,15.0,2710.0
plesada01,1995,213,13,12,4,0,0,5,770.0,252,111,27,96,211,18.0,9.0,5.0,3,1100.0,55.0,121,,,999.0
thompma01,2000,20,1,1,0,0,0,0,75.0,24,14,4,15,19,0.0,3.0,3.0,0,116.0,4.0,21,1.0,1.0,96.0
buenofr01,2014,30,0,0,0,0,0,0,97.0,36,15,3,7,20,2.0,1.0,1.0,1,142.0,8.0,16,0.0,4.0,130.0
kinnumi01,1987,27,0,0,0,0,0,0,81.0,35,16,4,21,15,1.0,2.0,0.0,0,128.0,8.0,20,,,107.0
lacorfr01,1984,142,10,13,1,0,0,15,603.0,180,108,23,108,152,15.0,17.0,2.0,1,880.0,75.0,120,,,770.0
ramirra02,2014,65,3,4,0,0,0,1,211.0,67,37,6,41,54,4.0,5.0,0.0,0,310.0,20.0,41,4.0,5.0,260.0
trombmi01,2001,296,15,26,1,0,0,35,1002.0,315,152,55,144,315,18.0,21.0,13.0,1,1446.0,136.0,157,15.0,6.0,1268.0
